"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's® Leeds Lands Lane","4.3","126","82","19","8","15","2","26","helpful staff","2","quality jeans","2","welcoming atmosphere","3","patient staff","3","clothing choices","2","advice","2","name","26","jeans",,,,
"Gas Station","4.5","11","8","2","1","0","0","4","jean selection",,,,,,,,,,,,,,,,,,
"W J Bennett Menswear","4.9","33","31","1","0","1","0","3","quality clothes","6","shirts","2","school","2","clothes",,,,,,,,,,,,
"Levi Strauss UK - Sales & Marketing","4.3","11","9","0","2","0","0","2","helpful staff","3","levi's","2","jeans",,,,,,,,,,,,,,
"Cool Hand Luke","4.4","25","21","0","4","0","0","2","levi's","3","shein","2","stussy","2","owner","2","sell","3","shirts","2","business","2","products",,,,
"Epoca Vintage Clothing Shop","4.6","105","88","8","4","2","3","2","leather jacket","2","levi's","6","helpful owner","2","retro clothing","10","friendly staff","2","clothing variety","2","deals","2","new clothing","2","espresso",,
"Blue17 Vintage clothing","4.7","115","98","11","3","3","0","2","vintage shoes","2","gem finds","3","vintage accessories","2","welcoming vibe","5","bags","3","vintage clothing selection","2","eras","2","hidden gem","2","jewelry","2","curated selection"
"Levisons Vintage Clothing","4.4","60","50","0","8","1","1","2","vintage suits","2","shoe selection","2","curated stock","2","workwear","11","helpful staff","2","denim","2","friendly owner","2","kind staff","2","vintage experience","2","beautiful clothes"
"Jeans & Jeans","3.4","62","33","2","22","3","2","27","helpful staff","17","suit","3","waistcoat","3","friendly salesman","4","shoes","4","jacket","2","suit purchase","3","polite staff","2","beard","2","suit quality"
"Jeans Corner London","4.5","33","23","6","2","2","0","8","helpful staff","2","helpful team","2","sale","2","school",,,,,,,,,,,,
"Levi's®",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brick Lane Vintage","4.4","79","50","17","1","9","2","4","unique markets","2","vinyls","2","vintage finds","2","bargains","3","variety of products","2","clothes stalls","2","kind staff","3","sunday","2","vintage markets",,
"Style Overdose","4.7","15","13","1","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® London Canary Wharf","4.1","98","60","16","15","5","2","33","helpful staff","16","jeans","2","store size","2","shoes","4","polite staff","2","lovely cashier","2","fitting room","3","retail experience","2","customer experience","2","manufacturing"
"Ralphs Vintage","5","12","12","0","0","0","0","4","knowledgeable staff","2","clothing seller","3","seller",,,,,,,,,,,,,,
"Second Wave Vintage","4.8","76","70","0","3","3","0","2","second hand clothes","3","fast replies","2","reliable seller","3","brands","2","item condition","3","item quality","2","clothing quality","2","top brands","2","amazing pieces","3","item as described"
