"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Leos","4.6","11","9","1","0","0","1",,,,,,,,,,,,,,,,,,,,
"Jeanshaus Fashion for Men","4.4","97","68","17","5","4","3","3","large selection","4","saleswoman","2","Saturday","9","pants",,,,,,,,,,,,
"JEANS LIVE","4.8","102","85","16","0","1","0","6","nice saleswomen","2","range","2","offers","2","jacket",,,,,,,,,,,,
"Lei-Jeans - Barbour authorizited Göttingen","4","4","2","1","0","0","1",,,,,,,,,,,,,,,,,,,,
"CLOSED - Levi's® Passau","4.4","10","7","1","0","1","1",,,,,,,,,,,,,,,,,,,,
"Levi's® Augsburg","4.2","40","30","3","7","0","0","4","trousers","2","friendly team","8","saleswoman","2","nice conversations","2","satisfied","2","disappointed","2","boy",,,,,,
"Jeans Number One","4.8","41","39","0","2","0","0","6","trousers","3","nice saleswoman","2","competence","2","shops","2","perfect","2","joy","2","might","7","selection",,,,
"Jeans-Land","4.9","1050","1013","13","18","3","3","44","friendly team","96","selection","21","jackets","10","consultation","9","discount","12","brands","19","assortment","6","not pushy","3","friendly owner","7","competent advice"
"VOOI RETAIL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leos Jeans Olympia EKZ München","4.1","20","14","1","3","1","1",,,,,,,,,,,,,,,,,,,,
"Tommy Jeans Store - CITTI Park","4.5","52","35","12","2","1","2","2","competent saleswoman","2","boy",,,,,,,,,,,,,,,,
"The Jeans","4.7","85","71","7","3","3","1","3","jackets","2","free chocolate bar","4","belts","2","kind owners","3","brands","2","cute staff","3","jeans selection","2","saleswomen","2","Internet","2","car"
"Leos Jeans Siegburg","4.9","36","32","4","0","0","0","4","seller","2","fun","2","selection",,,,,,,,,,,,,,
"jam-fashion","4.5","143","114","12","13","2","2","11","levis","8","friendly staff","3","friendly team","10","nice salespeople","10","selection","3","storage","3","501","2","recommendation","4","top",,
"Jeans Nicklas","4.6","18","12","4","0","2","0",,,,,,,,,,,,,,,,,,,,
"Jeans Alm","4.9","8","7","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4","97","59","12","17","7","2","7","nice staff","3","selection","3","salesperson","2","2024","2","manager","3","patience","10","jeans","3","team","3","boy",,
"CRASH Jeans-u.Sportswear S.M.F. Handels GmbH","4.9","76","71","4","0","1","0","4","saleswoman","2","fun","2","selection",,,,,,,,,,,,,,
"Pietzsch-Stier Christiane Jeansgeschäft-Crash","4.6","37","31","2","1","2","1","2","team","2","offer",,,,,,,,,,,,,,,,
"Levi's® Mainz","3.9","49","27","9","9","1","3","4","trousers","4","salesperson",,,,,,,,,,,,,,,,
"Jeans Ecke Streetwear Shop","4.7","35","28","6","0","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's® Schulterblatt","4.1","55","33","9","7","4","2",,,,,,,,,,,,,,,,,,,,
"Levi's Outlet soret",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waba Jeans Store","4.5","366","257","70","10","19","10","23","friendly saleswomen","16","selection","3","jackets","3","nice team","2","atmosphere","4","tops","3","patience","2","polo","2","shirts","13","staff"
"RENOtti-JEANS","4.9","20","17","3","0","0","0","2","selection",,,,,,,,,,,,,,,,,,
"Levi's® Rhein Center","4.5","36","24","7","0","4","1","3","pants","2","fun",,,,,,,,,,,,,,,,
"Levi's® Pragerstrasse","4.1","99","61","16","11","8","3","10","jeans","3","nice employees","5","saleswoman","2","gladly again","2","shopping","2","money",,,,,,,,
"Levi's® Westenhellweg","4.4","38","21","13","1","3","0","2","competent saleswoman","2","selection","2","team",,,,,,,,,,,,,,
"Jeans Disco Bossler Freizeitmoden GmbH & Co. KG","4.6","158","123","17","6","10","2","3","belts","18","pants","10","selection","2","friendly staff","8","salesperson","2","satisfied","3","wishes","2","size","2","perfect",,
"JEANS LOFT","5","110","109","0","1","0","0","5","friendly saleswomen","3","spacious changing rooms","6","feel-good atmosphere","19","selection","3","skirt","3","assortment","5","seeks","2","nicole","3","expertise","3","customer satisfaction"
"Jeans Boss","4.7","405","332","45","13","9","6","5","belts","24","selection","9","friendly staff","2","bargains","7","assortment","8","brands","8","IKEA","2","decor","8","saleswoman","2","competence"
"Levi's","4.5","112","76","22","3","7","4","2","friendly staff","2","kindness",,,,,,,,,,,,,,,,
"Levis Store Augsburg","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"US-Verkauf Bartsch","4.8","198","177","14","2","4","1","5","friendly team","2","levi","5","friendly staff","2","honest advice","2","coats","2","feel-good atmosphere","6","saleswomen","3","assortment","2","helpfulness","4","offers"
"Levi's® Saarbrücken","3.4","24","10","4","7","2","1","9","salesperson",,,,,,,,,,,,,,,,,,
"Levi's®","4.1","62","36","13","7","4","2","6","trousers","2","competent staff","5","salesman","2","mobile phone","5","staff","2","interest","2","zero",,,,,,
