"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's","4.4","164","108","34","8","12","2","19","discounts","3","staff attention","2","variety of clothing","2","outlet","6","size","8","pants","7","assortment","2","products",,,,
"Rodeo City Ariat Dostoyevski","4.2","13","10","0","2","1","0","2","Levi's","3","brands","2","pants","2","quality clothing",,,,,,,,,,,,
"Valenciano Levi's","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's originales","4.3","12","7","3","1","1","0","2","variety",,,,,,,,,,,,,,,,,,
"Levi's","3.5","17","7","4","4","1","1","2","variety of cuts","2","pants",,,,,,,,,,,,,,,,
"Levis","4.2","380","207","92","23","45","13","4","variety of models","2","3x2 offers","7","outlet","13","assortment","3","variety of clothes","2","safety protocols","2","staff's kindness","5","heat","4","tea","9","models"
"Levi's","4.3","28","21","1","2","1","3","5","discounts","3","staff attention","4","assortment","2","father",,,,,,,,,,,,
"Koss Jeans","4.6","30","23","4","1","2","0","2","quality clothing","3","pants",,,,,,,,,,,,,,,,
"Levis juarez","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Pantalon Levi's","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Outlet Jeans Durango",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr Chanos boutique:: distribuidor autorizado Levi's y Manchester","4.6","20","14","5","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Sendero Obregon","3","2","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.1","69","33","19","5","11","1","5","discounts",,,,,,,,,,,,,,,,,,
"La Troje LEVI'S",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's® Cuernavaca","4.5","21","16","1","1","3","0","2","offers",,,,,,,,,,,,,,,,,,
"Levi's® Oceanía","4.4","18","14","1","2","1","0","2","denim pants","3","variety of models","2","guy with glasses","5","attention","3","kindness","2","branch","2","sure","2","glasses",,,,
"Levi's Outlet",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's","3.9","51","24","15","8","3","1","2","variety of products","3","offers",,,,,,,,,,,,,,,,
"BOUTIQUE LEVI'S","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.2","32","18","8","2","2","2","3","attention",,,,,,,,,,,,,,,,,,
"Pantalones Levis promocion","3.9","11","5","2","1","3","0",,,,,,,,,,,,,,,,,,,,
"Levi's","3.8","4","2","1","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® PH Corner Perisur",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","16","7","5","4","0","0","3","discount","2","variety of products",,,,,,,,,,,,,,,,
"Levi's® Patio Martin Carrera","5","3","3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® PH Corner Acoxpa",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi´S Lagos De Moreno","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","3","2","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Ecatepec Pop Up",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's® PH Corner Polanco",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's® PH Corner Interlomas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's® PH Corner Guadalajara",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's® PH Corner Coyoacán","1","1","0","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's® Buenavista","3","8","4","0","4","0","0","2","promotions","2","brand","2","job",,,,,,,,,,,,,,
"Levi's","4.5","93","62","22","1","7","1","3","variety","5","sizes","3","jeans","4","promotions",,,,,,,,,,,,
"Levi's® PH Corner Durango","1","1","0","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.4","143","94","26","4","17","2","2","staff attention","2","variety","5","outlet","2","products","15","offers","5","pants",,,,,,,,
"Pantalón Levi´s ""El Original""","4","4","3","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Los Pantalones","4.7","32","25","6","1","0","0","2","Levi's",,,,,,,,,,,,,,,,,,
"Levi's®","3.9","22","15","1","6","0","0","2","friendly employees","3","promotions","2","kindness","3","variety",,,,,,,,,,,,
"REMATE DE ROPA AMERICANA OUTLET NL","4.2","54","28","15","3","6","2","3","variety","2","brand","2","offers","3","pants",,,,,,,,,,,,
"Elisa clon “la capital de los jeans”","5","4","4","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® PH Corner Monterrey",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's","4.3","32","21","6","4","1","0","3","variety of models","3","assortment","3","models",,,,,,,,,,,,,,
"Levi's","4.4","37","24","7","0","4","2","2","personalized attention","2","model","2","variety","3","attention",,,,,,,,,,,,
"Rey Del Levi´s","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Stone","4.5","2","1","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Pantalones Levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTLET FASHION STORE","4.1","56","28","15","3","6","4","3","staff friendliness","2","Levi's","2","season","3","quality of the clothes","6","brands","2","clothing options","2","clothing brands",,,,,,
"Jeans outlet","4.7","59","46","10","0","2","1","2","variety of styles","2","clothing designs","2","accessible","2","designs","3","variety",,,,,,,,,,
"Pantalones Levi' S","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Issa Jeans","3.8","8","4","2","2","0","0",,,,,,,,,,,,,,,,,,,,
"Pequeña Levi´s","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Pantalones Levi's","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Tijuana","3.3","12","7","0","5","0","0",,,,,,,,,,,,,,,,,,,,
"Emporio Jeans Co.","4","68","34","15","6","10","3","2","assortment of pants","5","variety","3","pants",,,,,,,,,,,,,,
"Mike's Levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emporio Jeans","4","29","17","4","5","3","0","2","pants","2","kindness",,,,,,,,,,,,,,,,
"Outlet 501. Levi's, Guess, etc.","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Store",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pantalones levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outlet de Pantalones","3.6","7","3","0","1","3","0",,,,,,,,,,,,,,,,,,,,
"Pantalón Levis","1","2","0","0","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levis pant","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Larueda Jean's","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Pantalón Levis saldo","4","3","1","1","0","1","0",,,,,,,,,,,,,,,,,,,,
"Pantalón levis",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pantalones levis",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pantalones Levi's originales","4.8","9","8","0","0","1","0","2","pants",,,,,,,,,,,,,,,,,,
"San Francisco, Cal. Original Levis",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saldo de pantalones LEVIS",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levis","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Vaqueros 501 (Levi’s en Chipilo)","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Ropa Levi's Esteban","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Eluani Levi Penhos Jaime",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prieto azabache levis",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pantalon clon levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonetería y Ropa en General ""Levi""","4","2","1","0","0","1","0",,,,,,,,,,,,,,,,,,,,
"SH","3.7","3","2","0","1","0","0","2","phone",,,,,,,,,,,,,,,,,,
"Pantalon levis","5","3","3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Jeans Estilo Propio",,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTLET JEANS","4.6","178","147","11","12","5","3","15","variety of jeans","11","quality of the jeans","9","variety of models","7","variety of pants","6","variety of sizes","16","brands","4","variety of styles","2","denim","3","variety of colors","2","staff friendliness"
"Tiendita de oportunidades","4.8","4","3","1","0","0","0","2","variety",,,,,,,,,,,,,,,,,,
"BLUE RIVET",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeans mty constitución","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Los Compadritos Outlet Pantalón San Nicolas","3.6","48","22","7","9","4","6","3","variety of pants","2","quality of the pants","3","Levi's","7","brands","2","economic","4","location","2","gentleman","2","pay","3","tea","7","variety"
"Remate pantalon","4.1","11","5","4","1","1","0",,,,,,,,,,,,,,,,,,,,
"Emporio Jeans Co.","5","5","5","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"LEVI´S ""PATTY""","5","9","9","0","0","0","0","2","assortment",,,,,,,,,,,,,,,,,,
"Levis Tay","4.5","2","1","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"L.V Jeans","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levis","2.5","2","0","1","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levis ""IMPORTODO""","4.2","23","11","8","1","3","0",,,,,,,,,,,,,,,,,,,,
"Metropolitan","4.6","58","44","9","1","3","1","4","variety","3","men's clothing","2","footwear","2","gentleman",,,,,,,,,,,,
"Uniformes Levist","5","7","7","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"ESTETICA UNISEX Levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's Apatzingan","4","5","2","2","0","0","1",,,,,,,,,,,,,,,,,,,,
"Levicentro","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Los Compadritos Outlet Apodaca","4.1","8","6","0","1","0","1","2","brand","4","pants",,,,,,,,,,,,,,,,
"Levis Michoacán",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oggi,furor,Levi's ,gevy,",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star Garage","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Evi jeans",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zapotlanejo Ropa","4.5","5952","4080","1288","99","396","89","194","variety of clothes","19","party dresses","13","seasonal clothing","80","quality of clothes","48","clothes for the whole family","35","fashionable clothes","60","variety of products","11","kids' clothes","27","sizes","42","beautiful clothes"
"Levi´s Clon",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marg jeans store","4.3","153","93","31","5","19","5","3","men's clothing","2","models","2","promotions","3","assortment",,,,,,,,,,,,
"The BOSS store",,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLANCA FLOR","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Z-KIT SPORTS",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dockers Explanada","4.3","6","4","0","0","2","0",,,,,,,,,,,,,,,,,,,,
"Bosco","4.2","1114","590","315","45","132","32","58","promotions","22","variety of clothes","23","quality clothing","24","brands","3","formal wear","3","youthful clothing","3","modern clothing","2","fabric quality","3","purses","7","accessibility"
"Promoda Parque Vértice Tlaxcala","4.4","1820","1007","588","33","172","20","27","cleanliness","32","family-friendly place","26","pleasant atmosphere","19","accessibility","4","walmart","9","spacious","6","size of the square","12","tranquility","4","discounts","98","plaza"
"American Eagle Outlet Puebla","4.4","291","179","67","8","29","8","5","quality of clothing","3","sizes","3","variety of products","5","brand","2","dress","2","testers","4","staff treatment","2","outlet store","2","colors","3","clothing options"
"IMPORTODO LEVIS",,,,,,,,,,,,,,,,,,,,,,,,,,,
"A/L Outfitters Vallejo","5","3","3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"El Mundo del Pantalón","3.3","4","2","0","1","0","1",,,,,,,,,,,,,,,,,,,,
"Urban Store Factory Shops Outlet León","4.3","50","29","15","2","2","2","2","levis","2","offers",,,,,,,,,,,,,,,,
"Levibola Usa","3","1","0","0","0","1","0",,,,,,,,,,,,,,,,,,,,
"OPP'S JEANS","3.7","256","80","77","22","57","20","2","clothing quality","5","variety","4","models","3","clothing",,,,,,,,,,,,
"Leví Store","5","2","2","0","0","0","0","2","assortment",,,,,,,,,,,,,,,,,,
"Joss destruxion tienda de ropa","4.2","33","18","8","3","4","0",,,,,,,,,,,,,,,,,,,,
"Mancera Saldos de Jeans","4.5","36","24","9","1","0","2","2","variety of pants","4","pants",,,,,,,,,,,,,,,,
"Pepe levis","4","2","1","0","0","1","0",,,,,,,,,,,,,,,,,,,,
"El Palacio de Hierro Polanco","4.6","36385","28167","5497","803","1486","432","185","boutiques","226","gourmet area","625","luxury","402","terrace","106","perfumery","139","luxury brands","100","churros","119","architecture","112","food court","78","staff attention"
"Paul&Shark","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Scalpers","3.3","4","1","1","1","1","0",,,,,,,,,,,,,,,,,,,,
"Dolce&Gabbana","4.5","8","7","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Canali Corner - Palacio de Hierro","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Purificacion Garcia","4.3","4","3","0","0","0","1",,,,,,,,,,,,,,,,,,,,
