"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Zipper",,,,,,,,,,,,,,,,,,,,,,,,,,,
"SHOULDER","4.6","107","78","20","4","3","2","2","quality clothes","3","product quality","2","fantastic salesperson","2","attentive","2","variety of choice","5","saleswoman","2","pieces","2","system","2","clothing items","6","clothes"
"Le Lis - Porto Alegre Iguatemi","4.2","38","24","7","4","3","0",,,,,,,,,,,,,,,,,,,,
"Brooksfield Júnior","4","15","10","1","3","1","0",,,,,,,,,,,,,,,,,,,,
"Eufrida","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Green","4.4","16","9","4","0","3","0",,,,,,,,,,,,,,,,,,,,
"Lilica Ripilica","4.4","18","12","4","1","1","0","2","son",,,,,,,,,,,,,,,,,,
"PAOLA DA VINCI","3.9","20","11","3","4","2","0",,,,,,,,,,,,,,,,,,,,
"ANIMALE","2.6","20","5","3","10","1","1","2","mark",,,,,,,,,,,,,,,,,,
"Jogê | Loja de Roupa Íntima Feminina em Shopping Iguatemi POA","4.5","31","23","5","1","1","1",,,,,,,,,,,,,,,,,,,,
"Scala","4.5","45","37","1","3","3","1","3","quality parts","2","variety of products","2","size","2","product quality","2","saleswoman","2","comparison","2","pieces","2","parts","3","products",,
"Lança Perfume","4.4","46","29","12","2","2","1","2","posture","2","wonderful clothes","2","salesperson","2","manager",,,,,,,,,,,,
"diBebê Papinhas","4.3","46","27","12","3","4","0","2","son",,,,,,,,,,,,,,,,,,
"Santa Lolla","4.3","51","33","8","2","5","3","2","product exchange","2","bags","2","shoes",,,,,,,,,,,,,,
"Cia Marítima","4.1","67","42","9","7","5","4","3","bikini","2","pieces",,,,,,,,,,,,,,,,
"Richards","4.6","18","15","1","1","1","0",,,,,,,,,,,,,,,,,,,,
"Aramis","4.6","85","68","9","2","4","2","2","size adjustments","5","quality clothes","2","product quality","2","telephone","2","shopping",,,,,,,,,,
"Calvin Klein","4.4","70","48","13","4","2","3","2","online store","3","product quality","2","brand","2","size","2","replacement","2","attentive","2","pay","3","part",,,,
"Damyller","4.6","90","69","14","2","3","2","4","friendly salesperson","5","quality products","4","mark","6","jeans","3","clothes","2","quality clothes",,,,,,,,
"VIA VENETO","4.1","86","50","15","9","8","4","2","dress pants","2","adjustments","2","young","2","attendant","2","suits","3","seller",,,,,,,,
"Milon","4.5","41","28","9","2","1","1","4","quality clothes","2","discounts","2","clothes",,,,,,,,,,,,,,
"Makenji","4.5","88","61","18","4","5","0","2","men's clothes","3","quality clothes","3","product quality","2","clothing options","3","clothes","2","products",,,,,,,,
"SCHUTZ","3.9","91","51","14","17","7","2","4","boots","2","exchange policy","2","return","2","factory","2","product quality","2","consumer protection code","2","reputation","2","posture","2","bag","7","mark"
"PLANETA SURF","3.8","98","55","12","21","9","1","2","product quality","2","skateboard","3","sellers","3","NF",,,,,,,,,,,,
"LACOSTE","3.7","97","51","14","23","7","2","6","product quality","3","customer attention","3","size","2","parts","2","arrogance","2","shop window","7","mark","2","WhatsApp","4","attendant","7","seller"
"Colcci","4","98","64","9","16","6","3","2","Iguatemi","2","rudeness","2","clothing options","3","attendant","2","present","2","seller","4","part","3","cell phone","2","respect",,
"LUPO","4.2","110","63","28","13","5","1","3","socks","3","attentive saleswoman","2","mark","2","underwear",,,,,,,,,,,,
"DUDALINA","4.4","129","91","19","9","8","2","2","variety of fabrics","6","quality clothes","3","brand","2","product mix","2","promotions","2","attentive","8","products","5","clothes","2","I like","3","product quality"
"SPIRITO SANTO","4.4","109","76","17","9","4","3","2","modern trends","3","variety of men's clothing","2","suits","3","cool clothes","3","kind staff","2","differentiated products","3","brand","3","product quality","2","educated",,
"Track&Field","4.4","110","71","25","4","9","1","2","comfortable clothes","2","product quality","2","comfort","2","products",,,,,,,,,,,,
"Beagle","4.1","133","76","29","17","8","3","2","Bermuda shorts","2","helpful salesperson","3","brand","2","gifts","3","macaw","2","product quality","3","pole","6","t-shirt","4","Iguatemi Shopping Mall, Porto Alegre","5","promotions"
"Brooksfield DONNA","4.4","112","74","23","4","4","7","2","product quality","2","arrogance","4","clothes","3","I like",,,,,,,,,,,,
"Puket","4.5","61","40","16","1","4","0","2","puket products","2","pajamas","3","attentive saleswomen","2","product quality","3","color",,,,,,,,,,
"TOMMY HILFIGER","4.4","164","110","30","9","12","3","3","variety of items","7","brand","2","boys","3","seller","2","clothes","2","money","3","products",,,,,,
"TEVAH","4.1","138","81","25","18","12","2","12","suit","3","fine clothes","2","suit adjustment","2","durability","3","models","4","cost-benefit","2","competition","2","arrogant","2","patience","14","salespeople"
"Zara","3.8","375","196","62","63","32","22","4","quality fabrics","3","self-checkout","3","men's clothing","2","variety of clothes","14","taster","6","promotions","2","automated checkouts","4","renovation","4","modernity","5","layout"
